Training model...
step: 203, nll_train: 8.094233, rec_acc_eval: 0.762
step: 204, nll_train: 7.895704, rec_acc_eval: 0.761
step: 205, nll_train: 7.878266, rec_acc_eval: 0.763
step: 206, nll_train: 8.020958, rec_acc_eval: 0.762
step: 207, nll_train: 8.107623, rec_acc_eval: 0.761
step: 208, nll_train: 7.952205, rec_acc_eval: 0.764
step: 209, nll_train: 7.940589, rec_acc_eval: 0.757
step: 210, nll_train: 7.874260, rec_acc_eval: 0.760
step: 211, nll_train: 7.879426, rec_acc_eval: 0.767
step: 212, nll_train: 7.827363, rec_acc_eval: 0.769
step: 213, nll_train: 7.892520, rec_acc_eval: 0.761
step: 214, nll_train: 8.031371, rec_acc_eval: 0.753
step: 215, nll_train: 8.159800, rec_acc_eval: 0.763
step: 216, nll_train: 8.197289, rec_acc_eval: 0.765
step: 217, nll_train: 8.095995, rec_acc_eval: 0.766
step: 218, nll_train: 8.002457, rec_acc_eval: 0.770
step: 219, nll_train: 7.990550, rec_acc_eval: 0.767
step: 220, nll_train: 7.989159, rec_acc_eval: 0.764
step: 221, nll_train: 7.895802, rec_acc_eval: 0.771
step: 222, nll_train: 7.868932, rec_acc_eval: 0.766
step: 223, nll_train: 7.949795, rec_acc_eval: 0.764
step: 224, nll_train: 7.990214, rec_acc_eval: 0.753
step: 225, nll_train: 8.152829, rec_acc_eval: 0.758
step: 226, nll_train: 8.309101, rec_acc_eval: 0.758
step: 227, nll_train: 8.384058, rec_acc_eval: 0.757
step: 228, nll_train: 8.282297, rec_acc_eval: 0.750
step: 229, nll_train: 8.236310, rec_acc_eval: 0.750
step: 230, nll_train: 8.229300, rec_acc_eval: 0.752
step: 231, nll_train: 8.264988, rec_acc_eval: 0.759
step: 232, nll_train: 8.279381, rec_acc_eval: 0.757
step: 233, nll_train: 8.323936, rec_acc_eval: 0.760
step: 234, nll_train: 8.356924, rec_acc_eval: 0.761
step: 235, nll_train: 8.309428, rec_acc_eval: 0.752
step: 236, nll_train: 8.323714, rec_acc_eval: 0.757
step: 237, nll_train: 8.236643, rec_acc_eval: 0.764
step: 238, nll_train: 8.004617, rec_acc_eval: 0.765
step: 239, nll_train: 7.712530, rec_acc_eval: 0.775
step: 240, nll_train: 7.568264, rec_acc_eval: 0.775
step: 241, nll_train: 7.481576, rec_acc_eval: 0.768
step: 242, nll_train: 7.530244, rec_acc_eval: 0.769
step: 243, nll_train: 7.636346, rec_acc_eval: 0.779
step: 244, nll_train: 7.704669, rec_acc_eval: 0.783
step: 245, nll_train: 7.733679, rec_acc_eval: 0.786
step: 246, nll_train: 7.634636, rec_acc_eval: 0.787
step: 247, nll_train: 7.595674, rec_acc_eval: 0.789
step: 248, nll_train: 7.556693, rec_acc_eval: 0.790
step: 249, nll_train: 7.674156, rec_acc_eval: 0.792
step: 250, nll_train: 7.547531, rec_acc_eval: 0.786
step: 251, nll_train: 7.520763, rec_acc_eval: 0.781
step: 252, nll_train: 7.526484, rec_acc_eval: 0.772
step: 253, nll_train: 7.463064, rec_acc_eval: 0.776
step: 254, nll_train: 7.813730, rec_acc_eval: 0.767
step: 255, nll_train: 7.634495, rec_acc_eval: 0.770
step: 256, nll_train: 7.870744, rec_acc_eval: 0.769
step: 257, nll_train: 7.765052, rec_acc_eval: 0.775
step: 258, nll_train: 7.859813, rec_acc_eval: 0.777
step: 259, nll_train: 7.801180, rec_acc_eval: 0.773
step: 260, nll_train: 7.732568, rec_acc_eval: 0.769
step: 261, nll_train: 7.523279, rec_acc_eval: 0.765
step: 262, nll_train: 7.636518, rec_acc_eval: 0.773
step: 263, nll_train: 7.453369, rec_acc_eval: 0.768
step: 264, nll_train: 7.519731, rec_acc_eval: 0.763
step: 265, nll_train: 7.294411, rec_acc_eval: 0.766
step: 266, nll_train: 7.663455, rec_acc_eval: 0.771
step: 267, nll_train: 7.426965, rec_acc_eval: 0.770
step: 268, nll_train: 7.529974, rec_acc_eval: 0.769
step: 269, nll_train: 7.449219, rec_acc_eval: 0.770
step: 270, nll_train: 7.494599, rec_acc_eval: 0.773
step: 271, nll_train: 7.575830, rec_acc_eval: 0.772
step: 272, nll_train: 7.558142, rec_acc_eval: 0.766
step: 273, nll_train: 7.662407, rec_acc_eval: 0.773
step: 274, nll_train: 7.582572, rec_acc_eval: 0.773
step: 275, nll_train: 7.439694, rec_acc_eval: 0.777
step: 276, nll_train: 7.461593, rec_acc_eval: 0.780
step: 277, nll_train: 7.296599, rec_acc_eval: 0.774
step: 278, nll_train: 7.217203, rec_acc_eval: 0.774
step: 279, nll_train: 7.115544, rec_acc_eval: 0.778
step: 280, nll_train: 7.177037, rec_acc_eval: 0.777
step: 281, nll_train: 7.234072, rec_acc_eval: 0.781
step: 282, nll_train: 7.164304, rec_acc_eval: 0.777
step: 283, nll_train: 7.085651, rec_acc_eval: 0.775
step: 284, nll_train: 7.210432, rec_acc_eval: 0.777
step: 285, nll_train: 7.040052, rec_acc_eval: 0.777
step: 286, nll_train: 7.027137, rec_acc_eval: 0.783
step: 287, nll_train: 7.239000, rec_acc_eval: 0.786
step: 288, nll_train: 7.035728, rec_acc_eval: 0.786
step: 289, nll_train: 7.176316, rec_acc_eval: 0.789
step: 290, nll_train: 7.159370, rec_acc_eval: 0.785
step: 291, nll_train: 6.890317, rec_acc_eval: 0.792
step: 292, nll_train: 6.902575, rec_acc_eval: 0.794
step: 293, nll_train: 6.999972, rec_acc_eval: 0.797
step: 294, nll_train: 7.116910, rec_acc_eval: 0.800
step: 295, nll_train: 6.898632, rec_acc_eval: 0.795
step: 296, nll_train: 6.738102, rec_acc_eval: 0.795
step: 297, nll_train: 6.988526, rec_acc_eval: 0.799
step: 298, nll_train: 6.894571, rec_acc_eval: 0.799
step: 299, nll_train: 7.056101, rec_acc_eval: 0.805
step: 300, nll_train: 6.981514, rec_acc_eval: 0.809
step: 301, nll_train: 6.915001, rec_acc_eval: 0.803
step: 302, nll_train: 6.731618, rec_acc_eval: 0.802
step: 303, nll_train: 6.833673, rec_acc_eval: 0.809
step: 304, nll_train: 6.822687, rec_acc_eval: 0.815
step: 305, nll_train: 6.828990, rec_acc_eval: 0.812
step: 306, nll_train: 6.986301, rec_acc_eval: 0.814
step: 307, nll_train: 6.950338, rec_acc_eval: 0.807
step: 308, nll_train: 6.870188, rec_acc_eval: 0.807
step: 309, nll_train: 6.823869, rec_acc_eval: 0.807
step: 310, nll_train: 6.882743, rec_acc_eval: 0.808
step: 311, nll_train: 6.734909, rec_acc_eval: 0.804
step: 312, nll_train: 6.826593, rec_acc_eval: 0.811
step: 313, nll_train: 6.531415, rec_acc_eval: 0.811
step: 314, nll_train: 6.771868, rec_acc_eval: 0.813
step: 315, nll_train: 6.580038, rec_acc_eval: 0.815
step: 316, nll_train: 6.818401, rec_acc_eval: 0.813
step: 317, nll_train: 6.830183, rec_acc_eval: 0.813
step: 318, nll_train: 6.919562, rec_acc_eval: 0.808
step: 319, nll_train: 6.810388, rec_acc_eval: 0.807
step: 320, nll_train: 6.945970, rec_acc_eval: 0.802
step: 321, nll_train: 6.846065, rec_acc_eval: 0.803
step: 322, nll_train: 6.863609, rec_acc_eval: 0.801
step: 323, nll_train: 6.705947, rec_acc_eval: 0.810
step: 324, nll_train: 6.998579, rec_acc_eval: 0.807
