run_id,learning_rate,hidden_dim,latent_dim,iterations,beta_b,beta_z,prior_rate,seg_acc,skill_acc,l2_distance
64,0.0001,128,16,100,0.5,1.0,4.0,0.5760135135135135,0.34572072072072074,5.324031835428695
65,0.0001,128,16,100,0.5,1.0,5.0,0.6583333333333333,0.36277777777777775,3.889413827322672
66,0.0001,128,16,100,1.0,0.5,3.0,0.5399305555555556,0.3524305555555556,6.332751362029321
67,0.0001,128,16,100,1.0,0.5,4.0,0.61,0.35888888888888887,4.634171968453007
68,0.0001,128,16,100,1.0,0.5,5.0,0.7566666666666667,0.3705555555555556,2.69073489933643
69,0.0001,128,16,100,1.0,1.0,3.0,0.5381944444444444,0.3506944444444444,6.316094178458362
70,0.0001,128,16,100,1.0,1.0,4.0,0.6083333333333333,0.3477777777777778,4.552556364996417
71,0.0001,128,16,100,1.0,1.0,5.0,0.7616666666666667,0.37277777777777776,2.6456941866422397
72,0.0001,128,16,1000,0.5,0.5,3.0,0.5054945054945055,0.3415750915750916,6.9742667572422885
73,0.0001,128,16,1000,0.5,0.5,4.0,0.5310344827586206,0.35172413793103446,6.067345014978325
74,0.0001,128,16,1000,0.5,0.5,5.0,0.5433333333333333,0.3688888888888889,5.506565007264319
75,0.0001,128,16,1000,0.5,1.0,3.0,0.5035714285714286,0.34404761904761905,7.544738728753937
76,0.0001,128,16,1000,0.5,1.0,4.0,0.5318791946308725,0.35626398210290827,6.081645755684804
77,0.0001,128,16,1000,0.5,1.0,5.0,0.535,0.3622222222222222,5.5459747121288165
78,0.0001,128,16,1000,1.0,0.5,3.0,0.502906976744186,0.3498062015503876,7.105662399058304
79,0.0001,128,16,1000,1.0,0.5,4.0,0.5316666666666666,0.34833333333333333,6.119975680584378
80,0.0001,128,16,1000,1.0,0.5,5.0,0.5333333333333333,0.3622222222222222,5.577043850212021
81,0.0001,128,16,1000,1.0,1.0,3.0,0.5032051282051282,0.3557692307692308,7.219049055496046
82,0.0001,128,16,1000,1.0,1.0,4.0,0.5287162162162162,0.3524774774774775,6.11417487691228
83,0.0001,128,16,1000,1.0,1.0,5.0,0.5333333333333333,0.3688888888888889,5.578606914207514
84,0.0001,128,16,5000,0.5,0.5,3.0,0.521551724137931,0.3448275862068966,6.515152235017109
85,0.0001,128,16,5000,0.5,0.5,4.0,0.5391156462585034,0.35090702947845803,5.875487579358152
86,0.0001,128,16,5000,0.5,0.5,5.0,0.5583333333333333,0.36833333333333335,5.407806804955728
87,0.0001,128,16,5000,0.5,1.0,3.0,0.5202702702702703,0.3430930930930931,6.747297969908559
88,0.0001,128,16,5000,0.5,1.0,4.0,0.5340136054421769,0.3554421768707483,6.051640432519384
89,0.0001,128,16,5000,0.5,1.0,5.0,0.5516666666666666,0.3705555555555556,5.420638035046406
90,0.0001,128,16,5000,1.0,0.5,3.0,0.5222772277227723,0.3432343234323432,6.842105063470668
91,0.0001,128,16,5000,1.0,0.5,4.0,0.5283333333333333,0.35333333333333333,6.26431195070796
92,0.0001,128,16,5000,1.0,0.5,5.0,0.5416666666666666,0.3616666666666667,5.497711354875091
93,0.0001,128,16,5000,1.0,1.0,3.0,0.5166666666666667,0.3453703703703704,7.042631608609248
94,0.0001,128,16,5000,1.0,1.0,4.0,0.5316666666666666,0.3477777777777778,6.346449979521106
95,0.0001,128,16,5000,1.0,1.0,5.0,0.5366666666666666,0.3655555555555556,5.541095731961338
96,0.0001,128,16,10000,0.5,0.5,3.0,0.5212264150943396,0.3498427672955975,6.499838201815533
97,0.0001,128,16,10000,0.5,0.5,4.0,0.5362068965517242,0.3586206896551724,5.977634067968098
98,0.0001,128,16,10000,0.5,0.5,5.0,0.5533333333333333,0.36777777777777776,5.407101035058078
99,0.0001,128,16,10000,0.5,1.0,3.0,0.5217391304347826,0.34692028985507245,6.711406467600237
100,0.0001,128,16,10000,0.5,1.0,4.0,0.5303571428571429,0.3607142857142857,6.154261659214165
101,0.0001,128,16,10000,0.5,1.0,5.0,0.5486577181208053,0.36073825503355705,5.522119277732932
102,0.0001,128,16,10000,1.0,0.5,3.0,0.5221238938053098,0.3414454277286136,6.820343017037348
103,0.0001,128,16,10000,1.0,0.5,4.0,0.53,0.3477777777777778,6.199163860286659
104,0.0001,128,16,10000,1.0,0.5,5.0,0.5383333333333333,0.3794444444444444,5.457730793342832
105,0.0001,128,16,10000,1.0,1.0,3.0,0.5185185185185185,0.35802469135802467,6.962966869254632
106,0.0001,128,16,10000,1.0,1.0,4.0,0.53,0.3472222222222222,6.3629923902098975
107,0.0001,128,16,10000,1.0,1.0,5.0,0.54,0.3622222222222222,5.557105644503682
108,0.0001,128,16,50000,0.5,0.5,3.0,0.5234375,0.3463541666666667,6.912591138165721
109,0.0001,128,16,50000,0.5,0.5,4.0,0.5305755395683454,0.35251798561151076,6.13463535489885
